Customer ID,Country,Total_sales,Frequency,LastInvoiceDate,Reference_date,Recency
12346.0,United Kingdom,77183.6,1,2011-01-18 10:01:00,2011-12-10 12:50:00,326
12347.0,Iceland,4310.0,7,2011-06-09 13:01:00,2011-12-10 12:50:00,183
12357.0,Switzerland,6207.67,1,2011-11-06 16:07:00,2011-12-10 12:50:00,33
12359.0,Cyprus,6310.03,4,2011-02-07 14:51:00,2011-12-10 12:50:00,305
12362.0,Belgium,4737.23,10,2011-07-07 12:32:00,2011-12-10 12:50:00,156
12378.0,Switzerland,4008.62,1,2011-08-02 10:34:00,2011-12-10 12:50:00,130
12409.0,Switzerland,11072.67,3,2011-09-22 10:38:00,2011-12-10 12:50:00,79
12415.0,Australia,124564.53,20,2011-01-06 11:12:00,2011-12-10 12:50:00,338
12428.0,Finland,6405.26,8,2011-07-05 12:23:00,2011-12-10 12:50:00,158
12431.0,Australia,6314.95,15,2011-10-06 09:32:00,2011-12-10 12:50:00,65
12432.0,Norway,4359.32,4,2011-10-28 11:43:00,2011-12-10 12:50:00,43
12433.0,Norway,13375.87,7,2011-09-09 13:44:00,2011-12-10 12:50:00,91
12435.0,Denmark,7829.89,2,2011-09-21 09:06:00,2011-12-10 12:50:00,80
12437.0,France,4447.41,18,2011-12-08 11:35:00,2011-12-10 12:50:00,2
12444.0,Norway,4085.46,5,2011-06-21 14:00:00,2011-12-10 12:50:00,171
12451.0,Switzerland,8995.52,5,2011-05-05 17:34:00,2011-12-10 12:50:00,218
12471.0,Germany,17388.649999999998,27,2011-07-07 12:40:00,2011-12-10 12:50:00,156
12472.0,Germany,6068.11,7,2011-11-07 14:01:00,2011-12-10 12:50:00,32
12474.0,Germany,6694.09,18,2011-03-28 14:07:00,2011-12-10 12:50:00,256
12476.0,Germany,5898.42,11,2011-05-05 17:13:00,2011-12-10 12:50:00,218
12477.0,Germany,13219.74,6,2011-10-07 09:16:00,2011-12-10 12:50:00,64
12481.0,Germany,5003.82,10,2010-12-09 10:13:00,2011-12-10 12:50:00,366
12484.0,Spain,3939.32,4,2011-01-07 14:04:00,2011-12-10 12:50:00,336
12490.0,France,4859.93,10,2011-05-09 09:47:00,2011-12-10 12:50:00,215
12500.0,Germany,4059.82,11,2011-10-06 09:37:00,2011-12-10 12:50:00,65
12524.0,Germany,3945.72,8,2011-10-07 11:19:00,2011-12-10 12:50:00,64
12536.0,France,4279.71,1,2011-10-11 14:52:00,2011-12-10 12:50:00,59
12539.0,Spain,5568.35,4,2011-01-27 11:05:00,2011-12-10 12:50:00,317
12540.0,Spain,11580.24,17,2011-09-08 13:38:00,2011-12-10 12:50:00,92
12557.0,Spain,11990.96,5,2011-07-04 13:19:00,2011-12-10 12:50:00,158
12567.0,France,8609.28,10,2011-06-08 09:16:00,2011-12-10 12:50:00,185
12583.0,France,6705.38,15,2011-07-08 12:22:00,2011-12-10 12:50:00,155
12590.0,Germany,9341.26,1,2011-05-12 14:46:00,2011-12-10 12:50:00,211
12621.0,Germany,12411.67,20,2011-05-09 11:34:00,2011-12-10 12:50:00,215
12626.0,Germany,5954.48,9,2011-10-06 13:30:00,2011-12-10 12:50:00,64
12627.0,Germany,4082.53,6,2011-10-06 15:51:00,2011-12-10 12:50:00,64
12637.0,France,5804.9,8,2011-09-09 11:48:00,2011-12-10 12:50:00,92
12664.0,Finland,4391.88,9,2011-11-04 09:24:00,2011-12-10 12:50:00,36
12678.0,France,16331.46,9,2011-06-05 11:53:00,2011-12-10 12:50:00,188
12681.0,France,12365.54,22,2011-11-09 09:34:00,2011-12-10 12:50:00,31
12682.0,France,11019.82,31,2010-12-09 14:49:00,2011-12-10 12:50:00,365
12683.0,France,7612.57,14,2010-12-09 12:17:00,2011-12-10 12:50:00,366
12688.0,Israel,4873.81,1,2011-08-18 08:49:00,2011-12-10 12:50:00,114
12700.0,France,4525.99,4,2011-05-08 16:10:00,2011-12-10 12:50:00,215
12705.0,Germany,6382.29,8,2011-04-08 09:54:00,2011-12-10 12:50:00,246
12709.0,Germany,9400.52,15,2010-12-08 09:49:00,2011-12-10 12:50:00,367
12712.0,Germany,3928.13,13,2010-12-09 11:39:00,2011-12-10 12:50:00,366
12714.0,France,4294.86,5,2011-11-30 15:43:00,2011-12-10 12:50:00,9
12720.0,Germany,5115.7300000000005,25,2011-02-09 10:41:00,2011-12-10 12:50:00,304
12731.0,France,18751.91,12,2011-03-31 10:29:00,2011-12-10 12:50:00,254
12744.0,Singapore,9120.39,4,2011-04-05 10:58:00,2011-12-10 12:50:00,249
12747.0,United Kingdom,4196.01,11,2011-12-07 14:34:00,2011-12-10 12:50:00,2
12748.0,United Kingdom,31650.78,206,2011-09-09 13:20:00,2011-12-10 12:50:00,91
12749.0,United Kingdom,4040.88,5,2011-12-06 09:56:00,2011-12-10 12:50:00,4
12752.0,Norway,4366.78,1,2011-09-19 13:32:00,2011-12-10 12:50:00,81
12753.0,Japan,21429.39,6,2011-02-09 11:21:00,2011-12-10 12:50:00,304
12755.0,Japan,3811.95,2,2010-12-09 10:44:00,2011-12-10 12:50:00,366
12757.0,Portugal,4176.75,9,2011-06-07 14:28:00,2011-12-10 12:50:00,185
12766.0,Portugal,6457.63,7,2011-01-09 15:56:00,2011-12-10 12:50:00,334
12779.0,Poland,3981.36,8,2011-04-05 08:43:00,2011-12-10 12:50:00,249
12798.0,Japan,6977.04,3,2011-11-29 15:52:00,2011-12-10 12:50:00,10
12830.0,United Kingdom,6814.64,6,2011-09-09 15:02:00,2011-12-10 12:50:00,91
12839.0,United Kingdom,5591.42,14,2011-06-09 14:43:00,2011-12-10 12:50:00,183
12841.0,United Kingdom,3991.58,25,2011-03-07 15:02:00,2011-12-10 12:50:00,277
12867.0,United Kingdom,4009.34,7,2011-05-09 15:34:00,2011-12-10 12:50:00,214
12901.0,United Kingdom,17654.54,28,2011-06-08 12:57:00,2011-12-10 12:50:00,184
12921.0,United Kingdom,16587.09,37,2011-11-09 09:50:00,2011-12-10 12:50:00,31
12931.0,United Kingdom,42055.96,15,2011-11-09 13:56:00,2011-12-10 12:50:00,30
12939.0,United Kingdom,11581.8,8,2011-01-09 11:20:00,2011-12-10 12:50:00,335
12949.0,United Kingdom,4167.22,8,2011-11-09 11:25:00,2011-12-10 12:50:00,31
12955.0,United Kingdom,4757.16,11,2011-09-08 12:48:00,2011-12-10 12:50:00,93
12957.0,United Kingdom,4017.54,8,2011-06-06 13:43:00,2011-12-10 12:50:00,186
12971.0,United Kingdom,11189.91,86,2011-03-09 11:27:00,2011-12-10 12:50:00,276
12980.0,United Kingdom,7374.900000000001,9,2011-07-05 09:34:00,2011-12-10 12:50:00,158
12989.0,United Kingdom,6924.110000000001,15,2011-12-06 15:28:00,2011-12-10 12:50:00,3
13001.0,United Kingdom,9785.97,13,2011-06-08 12:40:00,2011-12-10 12:50:00,185
13004.0,United Kingdom,5655.91,18,2011-06-09 09:16:00,2011-12-10 12:50:00,184
13013.0,United Kingdom,4810.9400000000005,13,2011-09-08 11:46:00,2011-12-10 12:50:00,93
13018.0,United Kingdom,7277.7,28,2011-08-09 13:22:00,2011-12-10 12:50:00,122
13027.0,United Kingdom,6912.0,6,2011-07-07 12:04:00,2011-12-10 12:50:00,156
13050.0,United Kingdom,5833.11,17,2011-02-08 15:24:00,2011-12-10 12:50:00,304
13069.0,United Kingdom,4431.44,24,2011-12-09 08:39:00,2011-12-10 12:50:00,1
13078.0,United Kingdom,12627.94,26,2011-03-09 14:14:00,2011-12-10 12:50:00,275
13081.0,United Kingdom,28337.38,11,2011-05-06 08:10:00,2011-12-10 12:50:00,218
13089.0,United Kingdom,58762.08,97,2011-03-08 14:47:00,2011-12-10 12:50:00,276
13090.0,United Kingdom,8895.82,13,2010-12-09 12:12:00,2011-12-10 12:50:00,366
13093.0,United Kingdom,7832.47,8,2011-03-09 12:14:00,2011-12-10 12:50:00,276
13097.0,United Kingdom,6003.22,10,2011-08-09 12:07:00,2011-12-10 12:50:00,123
13098.0,United Kingdom,28882.44,28,2011-02-08 11:32:00,2011-12-10 12:50:00,305
13102.0,United Kingdom,6424.09,24,2010-12-09 13:38:00,2011-12-10 12:50:00,365
13113.0,United Kingdom,12245.96,24,2011-08-09 12:00:00,2011-12-10 12:50:00,123
13124.0,United Kingdom,3756.33,3,2010-12-15 15:00:00,2011-12-10 12:50:00,359
13139.0,United Kingdom,5064.94,7,2011-05-08 16:03:00,2011-12-10 12:50:00,215
13148.0,United Kingdom,3683.26,12,2011-01-30 15:22:00,2011-12-10 12:50:00,313
13178.0,United Kingdom,5725.47,11,2011-05-09 14:44:00,2011-12-10 12:50:00,214
13183.0,United Kingdom,3957.78,9,2011-01-09 10:50:00,2011-12-10 12:50:00,335
13199.0,United Kingdom,9802.12,37,2011-09-08 14:53:00,2011-12-10 12:50:00,92
